 ,Label,Area,Mean,Min,Max,MinThr,MaxThr
12308,C1-A1-1.tif:12308-04136,147.273,2986.305,2640,3329,0,65535
12309,C1-A1-1.tif:12309-04135,83.205,3154.340,2843,3927,0,65535
12310,C1-A1-1.tif:12310-04138,296.626,3152.739,2728,4146,0,65535
12311,C1-A1-1.tif:12311-04145,351.541,6435.240,2936,54130,0,65535
12312,C1-A1-1.tif:12312-04137,228.814,2484.556,2095,2855,0,65535
12313,C1-A1-1.tif:12313-04134,54.083,2570.177,2290,2858,0,65535
12314,C1-A1-1.tif:12314-04131,65.316,3402.777,2978,3907,0,65535
12315,C1-A1-1.tif:12315-04132,42.019,4082.921,3833,4525,0,65535
12316,C1-A1-1.tif:12316-04144,238.383,4711.928,2606,35031,0,65535
12317,C1-A1-1.tif:12317-04134,88.197,3165.222,2814,3716,0,65535
12318,C1-A1-1.tif:12318-04146,270.000,2386.903,2088,2838,0,65535
12319,C1-A1-1.tif:12319-04132,61.988,2907.544,2591,3132,0,65535
12320,C1-A1-1.tif:12320-04133,52.835,3352.283,2829,5726,0,65535
12321,C1-A1-1.tif:12321-04135,141.865,2783.718,2426,3082,0,65535
12322,C1-A1-1.tif:12322-04134,95.270,7253.410,2600,12603,0,65535
12323,C1-A1-1.tif:12323-04132,52.835,6844.142,4100,24014,0,65535
12324,C1-A1-1.tif:12324-04136,99.014,4990.756,2853,16881,0,65535
12325,C1-A1-1.tif:12325-04137,121.895,1697.969,1446,1926,0,65535
12326,C1-A1-1.tif:12326-04132,44.931,2877.778,2625,3074,0,65535
12327,C1-A1-1.tif:12327-04143,237.966,3434.150,3050,3967,0,65535
12328,C1-A1-1.tif:12328-04135,72.804,7880.749,3125,40478,0,65535
12329,C1-A1-1.tif:12329-04135,80.709,3598.866,2885,6120,0,65535
12330,C1-A1-1.tif:12330-04150,278.321,2695.614,2361,3150,0,65535
12331,C1-A1-1.tif:12331-04136,50.339,2884.769,2516,3130,0,65535
12332,C1-A1-1.tif:12332-04134,66.564,2018.412,1814,2322,0,65535
12333,C1-A1-1.tif:12333-04135,42.019,5581.762,3259,13245,0,65535
12334,C1-A1-1.tif:12334-04163,978.908,10840.883,3014,57506,0,65535
12335,C1-A1-1.tif:12335-04137,43.267,3190.087,2873,3578,0,65535
12336,C1-A1-1.tif:12336-04145,161.002,9229.873,3002,34017,0,65535
12337,C1-A1-1.tif:12337-04141,215.085,2695.685,1366,5813,0,65535
12338,C1-A1-1.tif:12338-04137,80.293,2218.927,1881,2726,0,65535
12339,C1-A1-1.tif:12339-04147,306.611,2308.103,1898,2641,0,65535
12340,C1-A1-1.tif:12340-04133,55.331,2697.316,2442,2902,0,65535
12341,C1-A1-1.tif:12341-04138,82.789,3618.824,2774,6268,0,65535
